ticker,company,sector,exchange,country
NDA-FI,Nordea Bank Abp,Unknown,HEL,FI
NESTE,Neste Corporation,Unknown,HEL,FI
NLG1V,Nurminen Logistics Plc,Unknown,HEL,FI
NOHO,NoHo Partners Oyj,Unknown,HEL,FI
NOKIA,Nokia Corporation,Unknown,HEL,FI
NXTMH,Nexstim Oyj,Unknown,HEL,FI
OLVAS,Olvi Plc A,Unknown,HEL,FI
OMASP,Oma Säästöpankki Oyj,Unknown,HEL,FI
ORIOLA,Oriola Corporation,Unknown,HEL,FI
ORNAV,Orion Corporation A,Unknown,HEL,FI
ORNBV,Orion Corporation B,Unknown,HEL,FI
ORTHEX,Orthex Plc,Unknown,HEL,FI
OUT1V,Outokumpu Oyj,Unknown,HEL,FI
PAMPALO,Endomines Finland Oyj,Unknown,HEL,FI
PIHLIS,Pihlajalinna Oyj,Unknown,HEL,FI
PON1V,Ponsse Oyj 1,Unknown,HEL,FI
POSTI,Posti Group Oyj,Unknown,HEL,FI
PUUILO,Puuilo Plc,Unknown,HEL,FI
QTCOM,Qt Group Oyj,Unknown,HEL,FI
RAIKV,Raisio Plc K,Unknown,HEL,FI
RAIVV,Raisio Plc Vaihto-osake,Unknown,HEL,FI
RAUTE,Raute Corporation,Unknown,HEL,FI
REG1V,Revenio Group Corporation,Unknown,HEL,FI
RELAIS,Relais Group Oyj,Unknown,HEL,FI
REMEDY,Remedy Entertainment Oyj,Unknown,HEL,FI
SAGCV,Saga Furs Oyj C,Unknown,HEL,FI
SAMPO,Sampo Plc A,Unknown,HEL,FI
SANOMA,Sanoma Corporation,Unknown,HEL,FI
SBI,Sunborn International Plc,Unknown,HEL,FI
SCANFL,Scanfil Plc,Unknown,HEL,FI
SFOODS,Solar Foods Oyj,Unknown,HEL,FI
SITOWS,Sitowise Group Plc,Unknown,HEL,FI
SOSI1,Sotkamo Silver AB,Unknown,HEL,FI
SRV1V,SRV Group Plc,Unknown,HEL,FI
SSABAH,SSAB AB ser. A,Unknown,HEL,FI
SSABBH,SSAB AB ser. B,Unknown,HEL,FI
SSH1V,SSH Communications Security Oyj,Unknown,HEL,FI
STEAV,Stora Enso Oyj A,Unknown,HEL,FI
STERV,Stora Enso Oyj R,Unknown,HEL,FI
SUY1V,Suominen Oyj,Unknown,HEL,FI
TAALA,Taaleri Oyj,Unknown,HEL,FI
TALLINK,AS Tallink Grupp FDR,Unknown,HEL,FI
TEKOVA,Tekova Oyj,Unknown,HEL,FI
TELIA1,Telia Company AB,Unknown,HEL,FI
TEM1V,Tecnotree Corporation,Unknown,HEL,FI
TIETO,Tieto Corporation,Unknown,HEL,FI
TITAN,Titanium Oyj,Unknown,HEL,FI
TLT1V,Teleste Corporation,Unknown,HEL,FI
TNOM,Talenom Oyj,Unknown,HEL,FI
TOIVO,Toivo Group Oyj,Unknown,HEL,FI
TOKMAN,Tokmanni Group Oyj,Unknown,HEL,FI
TTALO,Terveystalo Plc,Unknown,HEL,FI
TYRES,Nokian Tyres Plc,Unknown,HEL,FI
UNITED,United Bankers Oyj,Unknown,HEL,FI
UPM,UPM-Kymmene Corporation,Unknown,HEL,FI
VAIAS,Vaisala Corporation A,Unknown,HEL,FI
VALMT,Valmet Corporation,Unknown,HEL,FI
VERK,Verkkokauppa.com Oyj,Unknown,HEL,FI
VIAFIN,Viafin Service Oyj,Unknown,HEL,FI
VIK1V,Viking Line Abp,Unknown,HEL,FI
WRT1V,Wärtsilä Corporation,Unknown,HEL,FI
YIT,YIT Corporation,Unknown,HEL,FI
